alert_type,alert_message,alert_date,store_location,product_id,product_name
customer service,add more,12/9/2016,"455 Barron Walk Suite 695
New Brian, PR 21132",P809, dress 
customer service,product numberP343is misplaced,12/7/2010,"077 Rivera Gateway
Howardtown, PR 86617",P343, dress 
inventory,product numberP305is misplaced,8/26/2015,"081 Moreno Points Apt. 113
North John, HI 28902",P305, pants
inventory,add more,7/4/1998,"99192 Matthew Crescent Suite 269
Robinsonport, ME 44625",P795, dress 
customer service,product numberP287is misplaced,1/5/2021,"96326 Bell Keys
South Emily, MT 18598",P287,T-shirt 
customer service,add more,2/25/1991,"28467 Ryan Hollow
Lake Jessicaburgh, TN 01000",P851, pants
inventory,add more,11/4/2017,"505 Briggs Parks
Ethanview, VA 25110",P796,T-shirt 
customer service,product numberP763is misplaced,12/29/2010,"348 Mark Crescent Suite 189
Dominguezville, VA 73005",P763, dress 
inventory,product numberP598is misplaced,9/26/2010,"8295 Lauren Centers
Garciamouth, MH 20413",P598, pants
sales,add more,1/27/1977,"7489 Amanda Road
Woodfort, KY 08911",P608, pants
inventory,product numberP644is misplaced,10/2/1976,"99096 Baker Highway
New Melaniefort, RI 58514",P644, dress 
sales,add more,6/9/2010,"9385 Kelly Hill
Dianefurt, WV 63672",P954,T-shirt 
customer service,add more,1/31/1971,"USNV Henderson
FPO AA 47958",P834, pants
sales,product numberP888is misplaced,7/11/2011,"02125 Jamie Common
Martinport, TN 29689",P888,T-shirt 
sales,product numberP793is misplaced,6/3/2013,"023 Thompson Street Apt. 637
Zavalabury, WI 46368",P793, pants
inventory,product numberP777is misplaced,6/28/2021,"3973 Silva Center
Port Douglas, WA 51458",P777,T-shirt 
sales,product numberP800is misplaced,8/9/2021,"6206 Smith Underpass Suite 395
West Jeffrey, SC 09902",P800, pants
customer service,product numberP469is misplaced,6/28/2014,"74236 Johnson Trafficway Suite 081
Brownton, NV 16733",P469, dress 
customer service,add more,4/22/2011,"604 Heather Square
Edwardmouth, MS 78724",P344, dress 
sales,product numberP249is misplaced,10/23/1999,"5086 Woods Fords Suite 322
Eduardohaven, AS 11785",P249,T-shirt 
sales,product numberP244is misplaced,11/28/1995,"27230 Dawn Place Suite 716
New Amanda, CO 65026",P244,T-shirt 
inventory,add more,10/11/1996,"Unit 8894 Box 7731
DPO AA 52361",P769, dress 
customer service,add more,12/17/1981,"35737 David Expressway
Elizabethbury, PW 37894",P895,T-shirt 
customer service,add more,7/20/1990,"029 Kathryn Key
North Seanville, AR 76544",P922,T-shirt 
inventory,add more,5/16/1984,"26680 Erin Loaf Apt. 396
New Travis, WY 78488",P619,T-shirt 
sales,add more,5/22/1988,"489 Theresa Locks
Schmidttown, WA 77827",P746, pants
customer service,product numberP542is misplaced,12/26/2020,"PSC 4802, Box 1018
APO AE 37139",P542, pants
inventory,add more,3/14/2011,"471 Vincent Mountain Suite 648
Michaelburgh, PR 04214",P197, dress 
customer service,add more,5/28/2010,"9808 Nichole Mills
South Kathleenside, VT 31048",P330,T-shirt 
inventory,product numberP464is misplaced,9/3/1982,"5734 Lopez Ports Apt. 511
Russellmouth, UT 96776",P464, dress 
inventory,product numberP754is misplaced,7/1/2002,"6279 Katie Underpass
Joanborough, GA 88306",P754, pants
inventory,product numberP702is misplaced,3/31/2021,"Unit 0146 Box 6145
DPO AA 69414",P702, dress 
customer service,product numberP638is misplaced,11/6/1998,"227 Warren Square Suite 445
New Lisahaven, NE 06086",P638, pants
