product_id,shelf_id
P369,S855
P664,S934
P433,S712
P820,S268
P251,S897
P517,S255
P315,S452
P864,S393
P112,S433
P994,S584
P909,S273
P520,S769
P498,S246
P148,S629
P176,S334
P824,S948
P818,S121
P372,S427
P489,S811
P254,S709
P946,S231
P784,S768
P192,S755
P490,S396
P628,S472
P937,S585
P771,S628
P722,S304
P475,S673
P630,S492
P779,S790
P919,S911
P126,S227
P453,S707
P988,S464
P288,S490
P807,S405
P705,S933
P482,S103
P686,S566
P506,S546
P652,S286
P207,S859
P129,S408
P719,S443
P639,S206
P993,S365
P649,S543
P903,S387
P220,S577
P855,S762
P936,S360
P283,S606
P494,S928
P672,S381
P776,S575
P328,S728
P155,S345
P575,S514
P491,S420
P833,S750
P422,S569
P359,S693
P732,S702
P334,S764
P989,S917
P663,S802
P621,S363
P462,S375
P841,S617
P448,S970
P597,S840
P451,S885
P640,S346
P560,S180
P979,S318
P465,S428
P232,S438
P728,S792
P271,S776
P243,S593
P131,S658
P169,S758
P867,S976
P856,S791
P548,S597
P647,S462
P878,S950
P626,S233
P850,S378
P145,S899
P611,S343
P609,S311
P185,S133
P578,S410
P842,S595
P488,S124
P900,S825
P892,S622
P752,S772
P918,S314
P761,S256
P794,S451
P718,S156
P239,S323
P998,S202
P358,S450
P449,S645
P775,S437
P156,S922
P107,S781
P574,S417
P432,S519
P476,S132
P262,S845
P536,S624
P535,S234
P400,S321
P869,S635
P204,S230
P691,S325
P724,S870
P579,S442
P882,S194
P182,S763
P952,S355
P836,S467
P439,S576
P546,S991
P279,S779
P741,S153
P502,S580
P128,S835
P360,S913
P694,S269
P101,S429
P884,S415
P170,S356
P266,S128
P810,S637
P678,S594
P944,S893
P272,S151
P975,S229
P709,S946
P826,S123
P276,S810
P314,S596
P238,S217
P604,S570
P651,S292
P258,S331
P242,S486
P871,S168
P507,S944
P866,S186
P808,S655
P805,S475
P365,S567
P149,S804
P199,S287
P530,S241
P791,S261
P566,S813
P337,S627
P680,S623
P914,S925
P401,S409
P885,S608
P412,S951
P844,S201
P402,S297
P109,S803
P577,S242
P480,S860
P984,S332
P404,S513
P814,S605
P973,S868
P203,S457
P420,S284
P354,S258
P711,S423
P915,S720
P527,S226
P710,S873
P111,S250
P121,S997
P669,S523
P450,S747
P976,S329
P986,S177
P555,S929
P633,S170
P797,S660
P588,S878
P573,S817
P196,S352
P581,S785
P250,S307
